X1	X2	year_date	letter_id	folio_or_catalogue
102	117	1579	L204	F9
103	117	1579	L205	F17
27	106	1579	L206	F12
104	7779	1579	L207	F9
104	7779	1579	L208	F9
58	68	1579	L209	F13
27	106	1579	L210	F8
89	27	1579	L211	F8
97	7780	1579	L212	F16
27	89	1579	L213	F8
105	7781	1579	L214	F18
106	27	1580	L215	F8
97	164	1580	L216	F16
58	68	1580	L217	F13
58	27	1580	L218	F8
58	27	1580	L219	F8
58	68	1580	L220	F13
81	119	1580	L221	NA
97	7780	1580	L222	F16
107	53	1580	L223	F4
108	27	1581	L224	F8
27	109	1581	L225	F8
17	7761	1581	L226	F19
107	53	1581	L227	F4
109	27	1581	L228	F8
110	7761	1581	L229	F19
111	7782	1582	L230	F16
112	7783	1582	L231	F8
107	53	1582	L232	F4
113	53	1582	L233	F19
81	119	1582	L234	NA
26	7784	1582	L235	F19
112	7783	1582	L236	F8
114	7785	1582	L237	NA
112	7786	1582	L238	F8
115	7787	1583	L239	F19
116	135	1583	L240	F19
107	7788	1583	L241	F4
79	7789	1583	L242	F13
117	135	1584	L243	F19
118	68	1584	L244	F13
119	7790	1584	L245	NA
120	135	1584	L246	F19
121	272	1584	L247	F19
122	117	1584	L248	F19
123	135	1584	L249	F19
56	7791	1584	L250	F20
124	26	1585	L251	F19
125	26	1585	L251	F19
125	103	1585	L252	F20
51	7792	1585	L253	F20
51	7793	1585	L254	F21
103	135	1585	L255	F20
103	135	1585	L256	F20
56	7794	1585	L257	F20
126	7795	1585	L258	F20
127	135	1585	L259	F20
128	103	1585	L260	F22
129	103	1585	L261	F23
103	117	1585	L262	F20
130	7796	1585	L263	F20
131	7795	1585	L264	F20
51	7797	1585	L265	F20
132	51	1585	L266	F20
133	135	1585	L267	F20
133	135	1585	L268	F20
112	7798	1586	L269	F8
134	117	1586	L270	F20
135	103	1586	L271	F20
135	51	1586	L272	F20
135	103	1586	L273	F20
136	103	1586	L274	F20
121	103	1586	L275	F20
103	135	1586	L276	F20
119	613	1586	L277	NA
119	139	1586	L278	NA
79	195	1586	L279	F13
137	138	1586	L280	F20
138	51	1586	L281	F20
139	613	1586	L282	NA
139	119	1586	L283	NA
140	68	1586	L284	F13
53	26	1586	L285	F20
141	79	1586	L286	F13
141	7799	1586	L287	F13
142	117	1586	L288	F20
131	7795	1586	L289	F20
143	146	1586	L290	F20
119	139	1586	L291	NA
144	119	1586	L292	NA
139	119	1586	L293	NA
138	7793	1586	L294	F20
145	7793	1586	L295	F13
146	103	1587	L296	F24
139	119	1587	L297	NA
51	149	1587	L298	F20
147	103	1587	L299	F23
148	51	1587	L300	F19
111	7782	1587	L301	F16
146	103	1587	L302	F23
119	613	1587	L303	NA
135	7795	1587	L304	F19
139	119	1587	L305	NA
149	153	1587	L306	F19
68	151	1587	L307	F13
150	151	1587	L307	F13
68	7793	1587	L308	F13
151	79	1587	L309	F13
150	151	1587	L310	F13
68	151	1587	L310	F13
152	135	1587	L311	F19
150	151	1587	L312	F13
68	151	1587	L312	F13
68	151	1587	L313	F13
153	149	1587	L314	F19
146	103	1587	L315	F22
154	221	1587	L316	F16
155	117	1587	L317	F19
135	149	1587	L318	F19
139	119	1587	L319	NA
156	164	1587	L320	F16
157	139	1587	L321	NA
68	141	1587	L322	F13
79	151	1587	L323	F13
158	149	1587	L324	F19
79	7793	1587	L325	F13
141	151	1588	L326	F13
141	68	1588	L326	F13
159	79	1588	L327	F13
68	141	1588	L328	F13
68	151	1588	L329	F13
68	151	1588	L328	F13
148	7800	1588	L330	F19
160	68	1588	L331	F13
161	103	1588	L332	F22
68	151	1588	L333	F13
162	51	1588	L334	F19
163	401	1588	L335	F25
162	135	1588	L336	F19
164	7801	1588	L337	F16
151	68	1589	L338	F13
68	151	1589	L339	F13
165	221	1589	L340	F16
68	7802	1589	L341	F13
68	151	1589	L342	F13
141	7803	1589	L343	F13
151	7803	1589	L343	F13
166	7803	1589	L343	F13
167	7803	1589	L343	F13
168	7803	1589	L343	F13
165	7804	1589	L344	F16
169	221	1589	L345	F16
170	26	1589	L346	F26
112	281	1589	L347	F8
170	103	1589	L348	F26
170	26	1589	L349	F26
171	119	1589	L350	NA
172	7805	1589	L351	F8
165	221	1589	L352	F16
173	7806	1590	L353	F16
174	119	1590	L354	NA
175	68	1590	L355	F13
176	221	1590	L356	F16
112	7805	1590	L357	F8
79	7807	1590	L358	F13
176	221	1590	L359	F16
176	221	1590	L360	F16
177	173	1590	L361	F3
169	221	1591	L362	F16
58	68	1591	L363	F13
58	79	1591	L364	F13
178	53	1591	L365	F27
58	119	1591	L366	NA
164	7808	1591	L367	F16
179	221	1591	L368	F16
173	221	1591	L369	F16
180	119	1591	L370	NA
181	221	1591	L371	F16
182	119	1591	L372	NA
183	7809	1591	L373	F16
184	119	1591	L374	NA
182	613	1592	L375	NA
185	7810	1592	L376	F27
175	68	1592	L377	F13
181	221	1592	L378	F16
186	221	1592	L379	F16
187	258	1592	L380	F28
79	51	1592	L381	F4
188	68	1592	L382	F13
26	7811	1592	L383	F27
189	221	1592	L384	F16
190	613	1592	L385	F29
191	7812	1592	L386	F30
112	191	1592	L387	F8
192	221	1592	L388	F16
187	258	1592	L389	F28
193	221	1593	L390	F16
26	7813	1593	L391	NA
194	221	1593	L392	F16
195	68	1593	L393	F13
196	453	1593	L394	F31
79	140	1593	L395	F13
188	68	1593	L396	F13
112	7814	1593	L397	F8
197	576	1594	L398	F32
193	221	1594	L399	F16
198	221	1594	L400	F16
199	68	1594	L401	F13
200	68	1594	L402	F13
201	79	1594	L403	F13
201	207	1594	L404	F13
199	79	1594	L405	F13
199	68	1594	L406	F13
202	119	1594	L407	NA
79	7815	1594	L408	F13
203	221	1594	L409	F16
